primeiro_nome,ultimo_nome,email
Ana,Souza,Ana.Souza@hotmail.com
Luiz Felipe,Pereira,Luiz.Felipe.Pereira@hotmail.com
Isis,Melo,Isis.Melo@hotmail.com
Yasmin,Nascimento,Yasmin.Nascimento@hotmail.com
Beatriz,Peixoto,Beatriz.Peixoto@hotmail.com
Yago,Melo,Yago.Melo@hotmail.com
Júlia,Ribeiro,Júlia.Ribeiro@hotmail.com
Enrico,Oliveira,Enrico.Oliveira@hotmail.com
Vitória,Nascimento,Vitória.Nascimento@hotmail.com
Manuela,Azevedo,Manuela.Azevedo@hotmail.com
